,ligand_name,rpos,dG_ts1
0,1-benzylpyrrole,3,36.66502232098719
1,1-benzylpyrrole,4,32.45621312124422
2,1-benzylpyrrole,5,35.402939964609686
3,1-benzylpyrrole,8,23.980654660088476
4,1-benzylpyrrole,9,22.96429330384126
5,1-methylindole,4,33.352154875174165
6,1-methylindole,5,33.06083614518866
7,1-methylindole,6,33.2613021141151
8,1-methylindole,7,34.790397040196694
9,1-methylindole,8,22.274159380584024
10,1-methylindole,9,30.825601492077112
11,1-methylpyrrole,2,23.056660371483304
12,1-methylpyrrole,3,24.08584362163674
13,"2,3-dihydrothieno[3,4-b][1,4]dioxine",1,20.088730444549583
14,2-methoxyfuran,3,19.0108650024049
15,2-methoxyfuran,4,25.29766944842413
16,2-methoxyfuran,5,12.682796092703938
17,2-methylfuran,2,27.264463429222815
18,2-methylfuran,3,26.836371873272583
19,2-methylfuran,4,18.714943832485005
20,2-tert-butylfuran,3,34.43219267157838
21,2-tert-butylfuran,4,27.975237226462923
22,2-tert-butylfuran,5,18.49177607812453
23,furan-2-yloxy(trimethyl)silane,5,18.50252533942694
24,furan-2-yloxy(trimethyl)silane,6,26.881373343931045
25,furan-2-yloxy(trimethyl)silane,7,13.55891678010812
26,furan,0,21.122750715643633
27,furan,1,26.767641951155383
28,tri(propan-2-yl)-pyrrol-1-ylsilane,4,31.47256404662039
29,tri(propan-2-yl)-pyrrol-1-ylsilane,5,24.299282824387774
30,trimethyl(pyrrol-1-yl)silane,3,26.19732537161326
31,trimethyl(pyrrol-1-yl)silane,4,23.373010677227285
